Quote No,Quote Date,Rep,Customer,Status,Discount,SKU,Material,Qty,Unit Price,Decision Date
Q-2214,09/04/2026,Aaliyah Brooks,Patricia Cooper,Sent,0%,STD-DR6,RO-44-SEL,1,3235.00,
Q-2215,"September 05, 2026",Jordan Price,Cynthia Ward,draft,5%,MCM-CT,SAP-84-FAS,1,1180.00,
Q-2215,"September 05, 2026",Jordan Price,Cynthia Ward,Draft,5%,SHK-DT96,hic-84-fas,1,"3,820.00",
Q-2216,"September 06, 2026",jordan price,Cynthia Ward,Sent,5%,FRM-DT84,HM-84-SEL,1,"$3,845.00",
Q-2217,09/06/26,Aaliyah Brooks,Dana Cook,Draft,0.1,FRM-BST,WO-44-SEL,2,795.00,
Q-2218,09/08/26,Jordan Price,Robert Cox,Sent,,MCM-DT60,POP-64-FAS,1,3170.00,
Q-2219,09/09/2026,Aaliyah Brooks,Dana Young,Sent,0%,FRM-BST,ASH-64-SEL,5,505.00,
Q-2219,09/09/2026,Aaliyah Brooks,Dana Young,Sent,0%,SHK-DC,MAH-44-FAS,8,655.00,
Q-2219,09/09/2026,Aaliyah Brooks,Dana Young,Sent,0%,MCM-WD,WAL-64-SEL,1,"2,175.00",
Q-2220,09/09/26,Jordan Price,Tomasz Evans,draft,0.1,SHK-DR6 ,WO-44-FAS,1,"4,475.00",
Q-2220,09/09/26,Jordan Price,Tomasz Evans,Draft,0.1,FRM-SB,HM-64-SEL,1,3510.00,
Q-2220,09/09/26,Jordan Price,Tomasz Evans,draft,0.1,STD-NS ,ASH-44-FAS,1,765.00,
