Res #,Date,Time,Party,Table,Duration (min),Status,Guest,Phone,Notes,Source
R40576,Fri 09/25/2026,6:30 PM,2,T8,75,Confirmed,"Hughes, Kathleen",+1 (206) 555-3668,,Online
R40546,Fri 09/25/2026,6:45 PM,2,T4,90,Confirmed,"Murphy, Priya",415-555-5350,,Online
R40101,Fri 09/25/2026,7:00 PM,2,T1,105,Confirmed,"Morgan, Kevin",(512) 555-8843,,Online
R40647,Fri 09/25/2026,7:00 PM,1,T11,75,Confirmed,"Diaz, Karen",802-555-5487,,Online
R40189,Fri 09/25/2026,7:00 PM,2,T2,,Confirmed,"Cooper, Hiroshi",+1 (919) 555-1760,,Phone
R40431,Fri 09/25/2026,7:00 PM,4,T6,,Confirmed,"Rodriguez, Michael",+1 (971) 555-7387,,Phone
R40846,Fri 09/25/2026,7:15 PM,1,T3,105,Confirmed,"Wright, Sandra",971.555.7189,,Online
R40619,Fri 09/25/2026,7:15 PM,4,T5,75,Confirmed,"Osei, William",(802) 555-6143,,Phone
R40253,Fri 09/25/2026,7:15 PM,2,T9,,Confirmed,"Bennett, David",6175553051,,Online
R40866,Fri 09/25/2026,7:30 PM,5,T10,90,Confirmed,"Nelson, Patricia",303-555-2763,,Online
R40859,Fri 09/25/2026,7:45 PM,1,T7,120,Confirmed,"Rodriguez, Jason",+1 206 555 5380,,Online
R40290,Fri 09/25/2026,8:15 PM,4,T4,120,Confirmed,"Price, Stephanie",+1 (720) 555-5002,,Online
R40679,Fri 09/25/2026,8:45 PM,2,T2,120,Confirmed,"Miller, Gary",720.555.8053,,Online
R40139,Fri 09/25/2026,8:45 PM,3,T6,75,Confirmed,"Thomas, Jessica",720-555-5612,,Online
R40116,Fri 09/25/2026,8:45 PM,3,T8,,Confirmed,"Ward, Mark",+1 (608) 555-5668,,Online
R40712,Fri 09/25/2026,9:00 PM,2,T1,,Confirmed,"Anderson, Mateo",+1 (608) 555-8811,,Online
R40675,Fri 09/25/2026,9:00 PM,1,T11,,Confirmed,"Moore, Dana",+1 (720) 555-9126,,Phone
R40710,Fri 09/25/2026,9:00 PM,4,T12,105,Confirmed,"Alvarez, Donna",1-919-555-9457,,Online
R40622,Fri 09/25/2026,9:00 PM,1,T3,105,Confirmed,"Martin, Jeffrey",+1 512 555 4359,,Phone
R40248,Fri 09/25/2026,9:00 PM,3,T5,,Confirmed,"Ward, Nancy",+1 (206) 555-2968,,Online
R40449,Sat 09/26/2026,5:15 PM,3,T2,120,Confirmed,"Evans, Nancy",1-617-555-7481,,Phone
R40266,Sat 09/26/2026,5:15 PM,4,T9,90,Confirmed,"Rodriguez, Christopher",1-720-555-4712,,Online
R40583,Sat 09/26/2026,5:30 PM,5,T10,,Confirmed,"Ramirez, Sofia",415.555.1078,,Phone
R41035,Sat 09/26/2026,5:30 PM,2,T11,90,Confirmed,"Bailey, Jennifer",1-720-555-2070,,Phone
R40723,Sat 09/26/2026,5:30 PM,2,T4,120,Confirmed,"Bennett, Susan",1-802-555-9485,,Online
R40259,Sat 09/26/2026,5:30 PM,2,T7,75,Confirmed,"Ross, Timothy",(802) 555-2545,,Online
R40876,Sat 09/26/2026,5:30 PM,2,T8,120,Confirmed,"Scott, Elizabeth",+1 971 555 4787,,Phone
R40299,Sat 09/26/2026,5:45 PM,1,T1,75,Confirmed,"Kelly, Linda",8025554379,,Online
R40241,Sat 09/26/2026,5:45 PM,5,T6,,Confirmed,"Thomas, Fatima",4155555026,,Online
R40819,Sat 09/26/2026,6:00 PM,7,T12,,Confirmed,"Richardson, Stephanie",+1 206 555 3357,,Online
R40708,Sat 09/26/2026,6:00 PM,2,T3,120,Confirmed,"Johnson, Sarah",919-555-1728,,Online
R40587,Sat 09/26/2026,6:00 PM,2,T4,120,Cancelled,"Lopez, Sharon",+1 303 555 7819,,Online
R40477,Sat 09/26/2026,6:00 PM,4,T5,90,Confirmed,"Ruiz, Kenneth",303-555-8475,,Online
R40368,Sat 09/26/2026,7:00 PM,1,T7,,Confirmed,"Morales, Luis",+1 617 555 4580,,Phone
R40612,Sat 09/26/2026,7:00 PM,2,T9,120,Confirmed,"Rivera, Gary",+1 (303) 555-6311,,Phone
R40831,Sat 09/26/2026,7:15 PM,2,T1,,Confirmed,"Mitchell, Aisha",3035551417,,Online
R40931,Sat 09/26/2026,7:30 PM,3,T2,,Confirmed,"Moore, Linda",512.555.5534,,Online
R40935,Sat 09/26/2026,7:30 PM,4,T4,,Confirmed,"Nguyen, Leila",6085557307,,Online
R40311,Sat 09/26/2026,7:45 PM,2,T5,105,Confirmed,"Reed, Karen",+1 (919) 555-3494,,Online
R40413,Sat 09/26/2026,8:00 PM,5,T10,,Confirmed,"Mendoza, Kwame",971-555-4091,,Online
R40541,Sat 09/26/2026,8:00 PM,4,T8,,Confirmed,"Nguyen, Nicholas",+1 720 555 1982,,Phone
R40627,Sat 09/26/2026,8:15 PM,2,T11,120,Confirmed,"Peterson, Wei",+1 (720) 555-1905,,Online
R40883,Sat 09/26/2026,8:15 PM,2,T3,,Confirmed,"Lewis, Sofia",617-555-7981,,Online
R40347,Sat 09/26/2026,8:30 PM,5,T12,75,Confirmed,"Walker, Priya",+1 303 555 9507,,Online
R40978,Sat 09/26/2026,8:30 PM,3,T6,105,Confirmed,"Foster, Steven",8025558170,,Online
R40716,Sat 09/26/2026,8:45 PM,1,T7,90,Confirmed,"Gutierrez, Andrew",608-555-4164,,Phone
R40168,Sun 09/27/2026,5:00 PM,6,T10,,Confirmed,"Walker, Sarah",9195554558,,Online
R40204,Sun 09/27/2026,5:00 PM,1,T11,,Confirmed,"Collins, Melissa",919-555-6837,,Phone
R40427,Sun 09/27/2026,5:00 PM,2,T8,105,Confirmed,"Thompson, Deborah",512-555-7296,,Online
R40484,Sun 09/27/2026,5:15 PM,6,T12,,Confirmed,"Castillo, Thomas",+1 415 555 1647,,Online
R40836,Sun 09/27/2026,5:15 PM,4,T2,105,Confirmed,"Wood, Robert",608-555-9055,,Phone
R40464,Sun 09/27/2026,5:15 PM,2,T4,120,Confirmed,"Hernandez, Amanda",(971) 555-2102,,Online
R40694,Sun 09/27/2026,5:15 PM,3,T5,,Confirmed,"Gray, Fatima",(415) 555-8514,,Phone
R40365,Sun 09/27/2026,5:15 PM,2,T7,105,Confirmed,"Lopez, John",(303) 555-7030,,Online
R40917,Sun 09/27/2026,5:30 PM,1,T1,90,Confirmed,"Cook, Jessica",+1 608 555 7414,,Online
R40238,Sun 09/27/2026,5:30 PM,1,T3,,Confirmed,"Collins, Luis",512-555-1356,,Online
R40964,Sun 09/27/2026,5:30 PM,5,T6,105,Confirmed,"Roberts, Donald",4155558115,,Phone
R40755,Sun 09/27/2026,5:30 PM,3,T9,,Confirmed,"Morris, Cynthia",+1 (919) 555-6776,,Online
R40905,Sun 09/27/2026,6:15 PM,2,T8,120,Confirmed,"Wilson, Carol",971.555.5730,,Online
R40833,Sun 09/27/2026,7:00 PM,2,T11,90,Confirmed,"Patel, Anna",(802) 555-4279,,Online
R40131,Sun 09/27/2026,7:00 PM,3,T5,120,Confirmed,"Miller, Deborah",+1 (802) 555-3795,,Online
R40352,Sun 09/27/2026,7:15 PM,3,T10,105,Confirmed,"Osei, Nadia",+1 (303) 555-4996,,Online
R40513,Sun 09/27/2026,7:30 PM,1,T1,105,Confirmed,"Ross, Mark",1-608-555-2332,,Phone
R40797,Sun 09/27/2026,7:30 PM,2,T4,,Confirmed,"Hernandez, Joseph",+1 919 555 5685,,Online
R40223,Sun 09/27/2026,7:30 PM,4,T6,75,Confirmed,"Morales, Chloe",1-415-555-5210,,Online
R40396,Sun 09/27/2026,7:30 PM,1,T7,105,Confirmed,"Moore, Margaret",6175553613,,Online
R40246,Sun 09/27/2026,7:45 PM,2,T2,,Confirmed,"Richardson, Leila",720-555-7288,,Online
R40570,Sun 09/27/2026,8:00 PM,3,T9,,Confirmed,"Rivera, Timothy",608.555.4870,,Online
R40685,Sun 09/27/2026,8:15 PM,1,T3,,Confirmed,"Nguyen, Donald",7205553497,,Phone
R40387,Sun 09/27/2026,8:30 PM,2,T11,105,Confirmed,"Ward, Kevin",+1 (919) 555-1261,,Phone
R40597,Sun 09/27/2026,8:45 PM,7,T12,,Confirmed,"Hall, Marcus",+1 608 555 2015,,Phone
R40437,Sun 09/27/2026,9:00 PM,6,T10,105,Confirmed,"Carter, Deborah",(617) 555-2660,,Online
R40468,Sun 09/27/2026,9:00 PM,2,T5,120,Confirmed,"Patel, Sarah",802-555-1334,,Phone
