invoice,customer,customer_email,plan,period_start,period_end,amount,status,created,memo
INV-20815,cus_5fhkzens,dorothyross69@yahoo.com,Monthly - 1 bag,2025-12-16,2026-01-15,19.00,paid,2025-12-16,
INV-20816,cus_p96eqebk,watson.patricia@protonmail.com,Monthly - 2 bags,2025-12-17,2026-01-16,34.00,paid,2025-12-17,
INV-20818,cus_uj9c336v,leila.jackson@aol.com,Monthly - 1 bag,2025-12-17,2026-01-16,19.00,paid,2025-12-17,
INV-20819,cus_hs2pa9tj,jeffreymyers16@hotmail.com,Monthly - 1 bag,2025-12-18,2026-01-17,19.00,paid,2025-12-18,
INV-20820,cus_rtbjtd2v,gary.perez@aol.com,Monthly - 1 bag,2025-12-18,2026-01-17,19.00,paid,2025-12-18,
INV-20823,cus_jrmv8acs,angela_diaz@outlook.com,Quarterly prepaid - 1 bag/mo,2025-12-18,2026-03-17,54.00,paid,2025-12-18,
INV-20824,cus_avpddymw,hughes.nicholas@me.com,Monthly - 1 bag,2025-12-20,2026-01-19,19.00,paid,2025-12-20,
INV-20825,cus_5p7kae4d,bennett.michael@protonmail.com,Monthly - 1 bag,2025-12-20,2026-01-19,19.00,paid,2025-12-20,
INV-20826,cus_y2rvnner,lee.cynthia@me.com,Monthly - 1 bag,2025-12-21,2026-01-20,19.00,paid,2025-12-21,
INV-20827,cus_vxk4uyjq,ingridanderson2@yahoo.com,Monthly - 2 bags,2025-12-21,2026-01-20,34.00,paid,2025-12-21,
INV-20828,cus_s3uhc2bc,nmorgan@outlook.com,Quarterly prepaid - 1 bag/mo,2025-12-21,2026-03-20,54.00,paid,2025-12-21,
INV-20830,cus_s2c55jqg,mensah.matthew@protonmail.com,Monthly - 1 bag,2025-12-21,2026-01-20,19.00,paid,2025-12-21,
INV-20833,cus_56bgzcmd,amara.haddad@outlook.com,Monthly - 2 bags,2025-12-21,2026-01-20,34.00,paid,2025-12-21,
INV-20835,cus_vy7kqma3,bettycook3@icloud.com,Monthly - 1 bag,2025-12-22,2026-01-21,19.00,failed,2025-12-22,
INV-20838,cus_ypzxnpt6,murphy.michael@gmail.com,Monthly - 1 bag,2025-12-22,2026-01-21,19.00,paid,2025-12-22,
INV-20839,cus_vy7kqma3,bettycook3@icloud.com,Monthly - 1 bag,2025-12-22,2026-01-21,19.00,paid,2025-12-23,
INV-20841,cus_cgwfgywk,ronald_wood@me.com,Monthly - 1 bag,2025-12-23,2026-01-22,19.00,paid,2025-12-23,
INV-20844,cus_gcf3zyvx,price.luis@gmail.com,Monthly - 1 bag,2025-12-23,2026-01-22,19.00,paid,2025-12-23,
INV-20845,cus_m8nvqzpd,christopher.alvarez@protonmail.com,Monthly - 2 bags,2025-12-24,2026-01-23,34.00,paid,2025-12-24,
INV-20847,cus_nw2hpupf,weiwright62@aol.com,Monthly - 2 bags,2025-12-24,2026-01-23,34.00,paid,2025-12-24,
INV-20850,cus_f4hh49bn,angela_jackson@aol.com,Quarterly prepaid - 1 bag/mo,2025-12-24,2026-03-23,54.00,paid,2025-12-24,
INV-20851,cus_2rj8qrmt,dmiller@protonmail.com,Monthly - 1 bag,2025-12-25,2026-01-24,19.00,paid,2025-12-25,
INV-20854,cus_eg9eh2ad,brodriguez@me.com,Monthly - 2 bags,2025-12-25,2026-01-24,34.00,paid,2025-12-25,
INV-20856,cus_eazrqyyv,joshua_stewart@aol.com,Monthly - 1 bag,2025-12-26,2026-01-25,19.00,paid,2025-12-26,
INV-20859,cus_pdkzq3hh,jones.amy@protonmail.com,Monthly - 2 bags,2025-12-26,2026-01-25,34.00,paid,2025-12-26,
INV-20860,cus_5eeapqd4,gary.wright@outlook.com,Monthly - 1 bag,2025-12-27,2026-01-26,19.00,paid,2025-12-27,
INV-20863,cus_sf5jy5tk,laura_cox@hotmail.com,Monthly - 1 bag,2025-12-27,2026-01-26,19.00,paid,2025-12-27,
INV-20864,cus_r5zfreej,john_moore@yahoo.com,Monthly - 1 bag,2025-12-28,2026-01-27,19.00,paid,2025-12-28,
INV-20866,cus_fyy8uth6,johnbrooks53@protonmail.com,Monthly - 1 bag,2025-12-28,2026-01-27,19.00,paid,2025-12-28,
INV-20868,cus_rrtukftw,marcusdiaz65@icloud.com,Monthly - 1 bag,2025-12-28,2026-01-27,19.00,paid,2025-12-28,
INV-20871,cus_pgz6kdqa,omar.green@protonmail.com,Quarterly prepaid - 1 bag/mo,2025-12-28,2026-03-27,54.00,paid,2025-12-28,
INV-20874,cus_643cjds3,sarah_reed@protonmail.com,Monthly - 2 bags,2025-12-28,2026-01-27,34.00,paid,2025-12-28,
INV-20877,cus_48aape7y,mateo.martin@protonmail.com,Monthly - 1 bag,2025-12-28,2026-01-27,19.00,failed,2025-12-28,
INV-20878,cus_48aape7y,mateo.martin@protonmail.com,Monthly - 1 bag,2025-12-28,2026-01-27,19.00,paid,2025-12-29,
INV-20879,cus_8s9gdqwu,thomas.richardson@hotmail.com,Monthly - 1 bag,2026-01-02,2026-02-01,19.00,paid,2026-01-02,
INV-20880,cus_j34zk7g4,jacob_flores@gmail.com,Monthly - 2 bags,2026-01-02,2026-02-01,34.00,paid,2026-01-02,
INV-20882,cus_ns2asbkz,gomez.eric@protonmail.com,Monthly - 2 bags,2026-01-02,2026-02-01,34.00,paid,2026-01-02,
INV-20883,cus_fghfk74d,barbaraokafor8@outlook.com,Monthly - 1 bag,2026-01-03,2026-02-02,19.00,paid,2026-01-03,
INV-20884,cus_awaugsgj,haddad.kevin@hotmail.com,Quarterly prepaid - 1 bag/mo,2026-01-03,2026-04-02,54.00,paid,2026-01-03,
INV-20885,cus_3bwmc4tx,carlos_johnson@yahoo.com,Monthly - 1 bag,2026-01-03,2026-02-02,19.00,paid,2026-01-03,
INV-20886,cus_mt6c8x43,chloe.perez@hotmail.com,Monthly - 1 bag,2026-01-03,2026-02-02,19.00,paid,2026-01-03,
INV-20888,cus_z6hveurp,adiaz@yahoo.com,Monthly - 2 bags,2026-01-03,2026-02-02,34.00,paid,2026-01-03,
INV-20890,cus_9gxn29nt,patel.jennifer@aol.com,Monthly - 1 bag,2026-01-03,2026-02-02,19.00,paid,2026-01-03,
INV-20893,cus_crxxgwmf,leila.ramirez@icloud.com,Monthly - 1 bag,2026-01-03,2026-02-02,19.00,paid,2026-01-03,
INV-20894,cus_v2e33ups,pmorris@gmail.com,Monthly - 1 bag,2026-01-04,2026-02-03,19.00,paid,2026-01-04,
INV-20896,cus_5umzkvay,michelleflores62@icloud.com,Monthly - 1 bag,2026-01-04,2026-02-03,19.00,paid,2026-01-04,
INV-20898,cus_xmbaa48k,clark.richard@aol.com,Monthly - 1 bag,2026-01-04,2026-02-03,19.00,paid,2026-01-04,
INV-20901,cus_pkq8bhmq,anderson.dmitri@me.com,Monthly - 2 bags,2026-01-04,2026-02-03,34.00,paid,2026-01-04,
INV-20902,cus_hpnj6as3,slong@protonmail.com,Monthly - 2 bags,2026-01-05,2026-02-04,34.00,paid,2026-01-05,
INV-20904,cus_zquby2ye,chill@me.com,Monthly - 2 bags,2026-01-05,2026-02-04,34.00,paid,2026-01-05,
INV-20907,cus_4gyxc6pd,marcus_miller@hotmail.com,Monthly - 2 bags,2026-01-05,2026-02-04,34.00,paid,2026-01-05,
INV-20910,cus_d5y845dr,steven_johnson@icloud.com,Monthly - 2 bags,2026-01-05,2026-02-04,34.00,paid,2026-01-05,
INV-20911,cus_shmfw3f2,melissa_kim@outlook.com,Monthly - 1 bag,2026-01-06,2026-02-05,19.00,paid,2026-01-06,
INV-20913,cus_buxrk375,mwright@hotmail.com,Monthly - 1 bag,2026-01-06,2026-02-05,19.00,paid,2026-01-06,
INV-20916,cus_rj44nx26,deborahwright62@protonmail.com,Monthly - 1 bag,2026-01-06,2026-02-05,19.00,paid,2026-01-06,
INV-20918,cus_6k9sq9ak,kimberlyallen21@gmail.com,Monthly - 1 bag,2026-01-08,2026-02-07,19.00,paid,2026-01-08,
INV-20920,cus_8kyyeecz,miller.margaret@protonmail.com,Monthly - 1 bag,2026-01-08,2026-02-07,0.00,paid,2026-01-08,first bag free
INV-20923,cus_u8pk7hxk,cturner@gmail.com,Monthly - 2 bags,2026-01-08,2026-02-07,34.00,paid,2026-01-08,
INV-20926,cus_yadgjf2m,mmorgan@gmail.com,Monthly - 2 bags,2026-01-08,2026-02-07,34.00,paid,2026-01-08,
INV-20929,cus_8dr7jd4b,carlos.morgan@gmail.com,Monthly - 1 bag,2026-01-08,2026-02-07,19.00,paid,2026-01-08,
INV-20930,cus_d9wxzme8,rebeccaosei2@icloud.com,Monthly - 2 bags,2026-01-09,2026-02-08,34.00,paid,2026-01-09,
INV-20932,cus_y8u592zg,sofiamensah23@protonmail.com,Monthly - 1 bag,2026-01-09,2026-02-08,19.00,paid,2026-01-09,
INV-20934,cus_pm6tq5nm,wilson.amara@aol.com,Monthly - 1 bag,2026-01-09,2026-02-08,19.00,paid,2026-01-09,
INV-20937,cus_x738bwqq,stevenbennett49@hotmail.com,Monthly - 2 bags,2026-01-09,2026-02-08,34.00,paid,2026-01-09,
INV-20938,cus_5jn8ejvj,murphy.betty@yahoo.com,Monthly - 2 bags,2026-01-10,2026-02-09,34.00,paid,2026-01-10,
INV-20939,cus_6pupkhnu,collins.marcus@icloud.com,Monthly - 1 bag,2026-01-10,2026-02-09,19.00,paid,2026-01-10,
INV-20941,cus_trz5uraw,sandra_thomas@protonmail.com,Monthly - 1 bag,2026-01-11,2026-02-10,19.00,paid,2026-01-11,
INV-20944,cus_5xtkseqm,sarahallen67@icloud.com,Monthly - 1 bag,2026-01-11,2026-02-10,19.00,paid,2026-01-11,
INV-20947,cus_4ztrhtxa,watson.mark@aol.com,Monthly - 2 bags,2026-01-11,2026-02-10,34.00,paid,2026-01-11,
INV-20950,cus_368y6wp6,dorothy_collins@yahoo.com,Monthly - 1 bag,2026-01-12,2026-02-11,19.00,paid,2026-01-12,
INV-20951,cus_6tqf7ghd,dwatson@yahoo.com,Monthly - 2 bags,2026-01-13,2026-02-12,34.00,paid,2026-01-13,
INV-20952,cus_b8xceusv,amorales@aol.com,Monthly - 2 bags,2026-01-13,2026-02-12,34.00,paid,2026-01-13,
INV-20954,cus_atdem82m,cook.eric@yahoo.com,Monthly - 1 bag,2026-01-13,2026-02-12,19.00,paid,2026-01-13,
INV-20957,cus_abjbts72,chaddad@aol.com,Monthly - 2 bags,2026-01-14,2026-02-13,34.00,paid,2026-01-14,
INV-20960,cus_78mhefjz,sandra_rogers@gmail.com,Monthly - 2 bags,2026-01-14,2026-02-13,34.00,void,2026-01-14,subscription cancelled
INV-20963,cus_2cbttsvs,ashleyhernandez90@outlook.com,Monthly - 2 bags,2026-01-14,2026-02-13,34.00,paid,2026-01-14,
INV-20966,cus_85ats8sn,timothy_lee@gmail.com,Quarterly prepaid - 1 bag/mo,2026-01-14,2026-04-13,54.00,paid,2026-01-14,
INV-20967,cus_9a85xep2,mary.morgan@me.com,Monthly - 1 bag,2026-01-15,2026-02-14,19.00,paid,2026-01-15,
INV-20969,cus_3kzadwt9,jhall@icloud.com,Monthly - 2 bags,2026-01-15,2026-02-14,34.00,paid,2026-01-15,
INV-20970,cus_pqsnz3bu,sarah.chavez@aol.com,Monthly - 1 bag,2026-01-16,2026-02-15,19.00,paid,2026-01-16,
INV-20971,cus_4fvssavh,carlos.baker@me.com,Monthly - 2 bags,2026-01-16,2026-02-15,34.00,void,2026-01-16,subscription cancelled
INV-20973,cus_5fhkzens,dorothyross69@yahoo.com,Monthly - 1 bag,2026-01-16,2026-02-15,19.00,paid,2026-01-16,
INV-20976,cus_k2zkxvpm,danaedwards97@outlook.com,Monthly - 1 bag,2026-01-16,2026-02-15,19.00,paid,2026-01-16,
INV-20979,cus_5jpvpfwc,sarah_king@gmail.com,Monthly - 1 bag,2026-01-16,2026-02-15,19.00,paid,2026-01-16,
INV-20982,cus_xbpcudx5,jessica.reed@icloud.com,Monthly - 2 bags,2026-01-16,2026-02-15,34.00,paid,2026-01-16,
INV-20985,cus_p96eqebk,watson.patricia@protonmail.com,Monthly - 2 bags,2026-01-17,2026-02-16,34.00,paid,2026-01-17,
INV-20988,cus_uj9c336v,leila.jackson@aol.com,Monthly - 1 bag,2026-01-17,2026-02-16,19.00,paid,2026-01-17,
INV-20989,cus_rtbjtd2v,gary.perez@aol.com,Monthly - 1 bag,2026-01-18,2026-02-17,19.00,paid,2026-01-18,
INV-20991,cus_hs2pa9tj,jeffreymyers16@hotmail.com,Monthly - 1 bag,2026-01-18,2026-02-17,19.00,paid,2026-01-18,
INV-20992,cus_nuj4v89x,angela_okafor@icloud.com,Quarterly prepaid - 1 bag/mo,2026-01-19,2026-04-18,54.00,failed,2026-01-19,
INV-20993,cus_faejyhve,jcook@protonmail.com,Quarterly prepaid - 1 bag/mo,2026-01-19,2026-04-18,54.00,paid,2026-01-19,
INV-20994,cus_evu3dmbq,dana_morales@outlook.com,Quarterly prepaid - 1 bag/mo,2026-01-20,2026-04-19,54.00,paid,2026-01-20,
INV-20996,cus_5p7kae4d,bennett.michael@protonmail.com,Monthly - 1 bag,2026-01-20,2026-02-19,19.00,paid,2026-01-20,
INV-20998,cus_qupujvbg,thomasbailey25@protonmail.com,Quarterly prepaid - 1 bag/mo,2026-01-20,2026-04-19,54.00,paid,2026-01-20,
INV-21001,cus_nuj4v89x,angela_okafor@icloud.com,Quarterly prepaid - 1 bag/mo,2026-01-19,2026-04-18,54.00,paid,2026-01-20,
INV-21004,cus_avpddymw,hughes.nicholas@me.com,Monthly - 1 bag,2026-01-20,2026-02-19,19.00,paid,2026-01-20,
INV-21005,cus_s2c55jqg,mensah.matthew@protonmail.com,Monthly - 1 bag,2026-01-21,2026-02-20,19.00,paid,2026-01-21,
INV-21007,cus_y2rvnner,lee.cynthia@me.com,Monthly - 1 bag,2026-01-21,2026-02-20,19.00,paid,2026-01-21,
INV-21009,cus_vxk4uyjq,ingridanderson2@yahoo.com,Monthly - 2 bags,2026-01-21,2026-02-20,34.00,paid,2026-01-21,
INV-21011,cus_56bgzcmd,amara.haddad@outlook.com,Monthly - 2 bags,2026-01-21,2026-02-20,34.00,paid,2026-01-21,
INV-21012,cus_vy7kqma3,bettycook3@icloud.com,Monthly - 1 bag,2026-01-22,2026-02-21,19.00,paid,2026-01-22,
INV-21013,cus_fy6wx4nc,sofia_wilson@me.com,Monthly - 1 bag,2026-01-22,2026-02-21,19.00,paid,2026-01-22,
INV-21016,cus_ypzxnpt6,murphy.michael@gmail.com,Monthly - 1 bag,2026-01-22,2026-02-21,19.00,paid,2026-01-22,
INV-21018,cus_cgwfgywk,ronald_wood@me.com,Monthly - 1 bag,2026-01-23,2026-02-22,19.00,paid,2026-01-23,
INV-21020,cus_gcf3zyvx,price.luis@gmail.com,Monthly - 1 bag,2026-01-23,2026-02-22,19.00,paid,2026-01-23,
INV-21023,cus_m8nvqzpd,christopher.alvarez@protonmail.com,Monthly - 2 bags,2026-01-24,2026-02-23,34.00,paid,2026-01-24,
INV-21026,cus_nw2hpupf,weiwright62@aol.com,Monthly - 2 bags,2026-01-24,2026-02-23,34.00,paid,2026-01-24,
INV-21028,cus_eg9eh2ad,brodriguez@me.com,Monthly - 2 bags,2026-01-25,2026-02-24,34.00,paid,2026-01-25,
INV-21031,cus_2rj8qrmt,dmiller@protonmail.com,Monthly - 1 bag,2026-01-25,2026-02-24,19.00,paid,2026-01-25,
INV-21033,cus_pdkzq3hh,jones.amy@protonmail.com,Monthly - 2 bags,2026-01-26,2026-02-25,34.00,paid,2026-01-26,
INV-21036,cus_eazrqyyv,joshua_stewart@aol.com,Monthly - 1 bag,2026-01-26,2026-02-25,19.00,paid,2026-01-26,
INV-21039,cus_jb8aqw9k,david_kim@protonmail.com,Quarterly prepaid - 1 bag/mo,2026-01-26,2026-04-25,54.00,paid,2026-01-26,
INV-21041,cus_spk8n33f,amaraedwards77@outlook.com,Quarterly prepaid - 1 bag/mo,2026-01-27,2026-04-26,54.00,paid,2026-01-27,
INV-21043,cus_sf5jy5tk,laura_cox@hotmail.com,Monthly - 1 bag,2026-01-27,2026-02-26,19.00,paid,2026-01-27,
INV-21045,cus_khz6bsb4,paul.johnson@me.com,Monthly - 1 bag,2026-01-27,2026-02-26,0.00,paid,2026-01-27,first bag free
INV-21048,cus_5eeapqd4,gary.wright@outlook.com,Monthly - 1 bag,2026-01-27,2026-02-26,19.00,paid,2026-01-27,
INV-21051,cus_jf2gfc77,amararichardson43@yahoo.com,Monthly - 1 bag,2026-01-27,2026-02-26,0.00,paid,2026-01-27,first bag free
INV-21052,cus_gagx7eww,rahul.anderson@me.com,Quarterly prepaid - 1 bag/mo,2026-01-28,2026-04-27,54.00,paid,2026-01-28,
INV-21053,cus_643cjds3,sarah_reed@protonmail.com,Monthly - 2 bags,2026-01-28,2026-02-27,34.00,paid,2026-01-28,
INV-21054,cus_48aape7y,mateo.martin@protonmail.com,Monthly - 1 bag,2026-01-28,2026-02-27,19.00,paid,2026-01-28,
INV-21055,cus_y75gs546,hiroshijackson99@aol.com,Quarterly prepaid - 1 bag/mo,2026-01-28,2026-04-27,54.00,paid,2026-01-28,
INV-21057,cus_r5zfreej,john_moore@yahoo.com,Monthly - 1 bag,2026-01-28,2026-02-27,19.00,paid,2026-01-28,
INV-21060,cus_fyy8uth6,johnbrooks53@protonmail.com,Monthly - 1 bag,2026-01-28,2026-02-27,19.00,paid,2026-01-28,
INV-21063,cus_rrtukftw,marcusdiaz65@icloud.com,Monthly - 1 bag,2026-01-28,2026-02-27,19.00,paid,2026-01-28,
INV-21064,cus_j34zk7g4,jacob_flores@gmail.com,Monthly - 2 bags,2026-02-02,2026-03-01,34.00,paid,2026-02-02,
INV-21065,cus_8s9gdqwu,thomas.richardson@hotmail.com,Monthly - 1 bag,2026-02-02,2026-03-01,19.00,paid,2026-02-02,
INV-21067,cus_ns2asbkz,gomez.eric@protonmail.com,Monthly - 2 bags,2026-02-02,2026-03-01,34.00,paid,2026-02-02,
INV-21068,cus_z6hveurp,adiaz@yahoo.com,Monthly - 2 bags,2026-02-03,2026-03-02,34.00,paid,2026-02-03,
INV-21069,cus_crxxgwmf,leila.ramirez@icloud.com,Monthly - 1 bag,2026-02-03,2026-03-02,19.00,paid,2026-02-03,
INV-21072,cus_fghfk74d,barbaraokafor8@outlook.com,Monthly - 1 bag,2026-02-03,2026-03-02,19.00,paid,2026-02-03,
INV-21075,cus_9gxn29nt,patel.jennifer@aol.com,Monthly - 1 bag,2026-02-03,2026-03-02,19.00,paid,2026-02-03,
INV-21078,cus_mt6c8x43,chloe.perez@hotmail.com,Monthly - 1 bag,2026-02-03,2026-03-02,19.00,paid,2026-02-03,
INV-21081,cus_3bwmc4tx,carlos_johnson@yahoo.com,Monthly - 1 bag,2026-02-03,2026-03-02,19.00,paid,2026-02-03,
INV-21082,cus_5umzkvay,michelleflores62@icloud.com,Monthly - 1 bag,2026-02-04,2026-03-03,19.00,paid,2026-02-04,
INV-21083,cus_v2e33ups,pmorris@gmail.com,Monthly - 1 bag,2026-02-04,2026-03-03,19.00,paid,2026-02-04,
INV-21085,cus_pkq8bhmq,anderson.dmitri@me.com,Monthly - 2 bags,2026-02-04,2026-03-03,34.00,paid,2026-02-04,
INV-21087,cus_xmbaa48k,clark.richard@aol.com,Monthly - 1 bag,2026-02-04,2026-03-03,19.00,paid,2026-02-04,
INV-21089,cus_4gyxc6pd,marcus_miller@hotmail.com,Monthly - 2 bags,2026-02-05,2026-03-04,34.00,paid,2026-02-05,
INV-21091,cus_zquby2ye,chill@me.com,Monthly - 2 bags,2026-02-05,2026-03-04,34.00,void,2026-02-05,subscription cancelled
INV-21094,cus_hpnj6as3,slong@protonmail.com,Monthly - 2 bags,2026-02-05,2026-03-04,34.00,paid,2026-02-05,
INV-21097,cus_d5y845dr,steven_johnson@icloud.com,Monthly - 2 bags,2026-02-05,2026-03-04,34.00,paid,2026-02-05,
INV-21098,cus_shmfw3f2,melissa_kim@outlook.com,Monthly - 1 bag,2026-02-06,2026-03-05,19.00,paid,2026-02-06,
INV-21100,cus_nghny7v3,deborahgutierrez9@gmail.com,Monthly - 1 bag,2026-02-06,2026-03-05,19.00,paid,2026-02-06,
INV-21102,cus_rj44nx26,deborahwright62@protonmail.com,Monthly - 1 bag,2026-02-06,2026-03-05,19.00,paid,2026-02-06,
INV-21105,cus_buxrk375,mwright@hotmail.com,Monthly - 1 bag,2026-02-06,2026-03-05,19.00,paid,2026-02-06,
INV-21108,cus_xak34nss,elizabeth.williams@aol.com,Monthly - 1 bag,2026-02-07,2026-03-06,19.00,paid,2026-02-07,
INV-21110,cus_6k9sq9ak,kimberlyallen21@gmail.com,Monthly - 1 bag,2026-02-08,2026-03-07,19.00,paid,2026-02-08,
INV-21113,cus_8kyyeecz,miller.margaret@protonmail.com,Monthly - 1 bag,2026-02-08,2026-03-07,19.00,paid,2026-02-08,
INV-21116,cus_yadgjf2m,mmorgan@gmail.com,Monthly - 2 bags,2026-02-08,2026-03-07,34.00,paid,2026-02-08,
INV-21119,cus_8dr7jd4b,carlos.morgan@gmail.com,Monthly - 1 bag,2026-02-08,2026-03-07,19.00,paid,2026-02-08,
INV-21122,cus_u8pk7hxk,cturner@gmail.com,Monthly - 2 bags,2026-02-08,2026-03-07,34.00,paid,2026-02-08,
INV-21123,cus_y8u592zg,sofiamensah23@protonmail.com,Monthly - 1 bag,2026-02-09,2026-03-08,19.00,paid,2026-02-09,
INV-21124,cus_u4658jb5,barbara.mensah@yahoo.com,Quarterly prepaid - 1 bag/mo,2026-02-09,2026-05-08,54.00,paid,2026-02-09,
INV-21125,cus_pm6tq5nm,wilson.amara@aol.com,Monthly - 1 bag,2026-02-09,2026-03-08,19.00,paid,2026-02-09,
INV-21126,cus_x738bwqq,stevenbennett49@hotmail.com,Monthly - 2 bags,2026-02-09,2026-03-08,34.00,paid,2026-02-09,
INV-21129,cus_d9wxzme8,rebeccaosei2@icloud.com,Monthly - 2 bags,2026-02-09,2026-03-08,34.00,paid,2026-02-09,
INV-21132,cus_6gx5ft6q,osei.elizabeth@aol.com,Quarterly prepaid - 1 bag/mo,2026-02-09,2026-05-08,54.00,paid,2026-02-09,
INV-21134,cus_2efrxxee,priya.castillo@hotmail.com,Monthly - 1 bag,2026-02-10,2026-03-09,0.00,paid,2026-02-10,first bag free
INV-21136,cus_6pupkhnu,collins.marcus@icloud.com,Monthly - 1 bag,2026-02-10,2026-03-09,19.00,paid,2026-02-10,
INV-21138,cus_5jn8ejvj,murphy.betty@yahoo.com,Monthly - 2 bags,2026-02-10,2026-03-09,34.00,void,2026-02-10,subscription cancelled
INV-21141,cus_qwxvkrke,anna_gutierrez@outlook.com,Monthly - 1 bag,2026-02-10,2026-03-09,19.00,paid,2026-02-10,
INV-21143,cus_trz5uraw,sandra_thomas@protonmail.com,Monthly - 1 bag,2026-02-11,2026-03-10,19.00,paid,2026-02-11,
INV-21146,cus_5xtkseqm,sarahallen67@icloud.com,Monthly - 1 bag,2026-02-11,2026-03-10,19.00,paid,2026-02-11,
INV-21149,cus_4ztrhtxa,watson.mark@aol.com,Monthly - 2 bags,2026-02-11,2026-03-10,34.00,paid,2026-02-11,
INV-21150,cus_a2tjcj4m,marcusedwards11@gmail.com,Quarterly prepaid - 1 bag/mo,2026-02-12,2026-05-11,54.00,paid,2026-02-12,
INV-21153,cus_368y6wp6,dorothy_collins@yahoo.com,Monthly - 1 bag,2026-02-12,2026-03-11,19.00,paid,2026-02-12,
INV-21155,cus_6tqf7ghd,dwatson@yahoo.com,Monthly - 2 bags,2026-02-13,2026-03-12,34.00,failed,2026-02-13,
INV-21157,cus_8rw5tq82,angelasanchez92@outlook.com,Monthly - 1 bag,2026-02-13,2026-03-12,19.00,paid,2026-02-13,
INV-21160,cus_b8xceusv,amorales@aol.com,Monthly - 2 bags,2026-02-13,2026-03-12,34.00,paid,2026-02-13,
INV-21163,cus_atdem82m,cook.eric@yahoo.com,Monthly - 1 bag,2026-02-13,2026-03-12,19.00,paid,2026-02-13,
INV-21165,cus_abjbts72,chaddad@aol.com,Monthly - 2 bags,2026-02-14,2026-03-13,34.00,paid,2026-02-14,
INV-21168,cus_2cbttsvs,ashleyhernandez90@outlook.com,Monthly - 2 bags,2026-02-14,2026-03-13,34.00,paid,2026-02-14,
INV-21171,cus_6tqf7ghd,dwatson@yahoo.com,Monthly - 2 bags,2026-02-13,2026-03-12,34.00,paid,2026-02-14,
INV-21172,cus_9a85xep2,mary.morgan@me.com,Monthly - 1 bag,2026-02-15,2026-03-14,19.00,failed,2026-02-15,
INV-21173,cus_w76u4q66,cooper.angela@me.com,Monthly - 1 bag,2026-02-15,2026-03-14,0.00,paid,2026-02-15,first bag free
INV-21176,cus_3kzadwt9,jhall@icloud.com,Monthly - 2 bags,2026-02-15,2026-03-14,34.00,paid,2026-02-15,
INV-21177,cus_9a85xep2,mary.morgan@me.com,Monthly - 1 bag,2026-02-15,2026-03-14,19.00,paid,2026-02-16,
INV-21178,cus_5fhkzens,dorothyross69@yahoo.com,Monthly - 1 bag,2026-02-16,2026-03-15,19.00,paid,2026-02-16,
INV-21180,cus_5jpvpfwc,sarah_king@gmail.com,Monthly - 1 bag,2026-02-16,2026-03-15,19.00,paid,2026-02-16,
INV-21182,cus_xbpcudx5,jessica.reed@icloud.com,Monthly - 2 bags,2026-02-16,2026-03-15,34.00,paid,2026-02-16,
INV-21184,cus_k2zkxvpm,danaedwards97@outlook.com,Monthly - 1 bag,2026-02-16,2026-03-15,19.00,paid,2026-02-16,
INV-21187,cus_pqsnz3bu,sarah.chavez@aol.com,Monthly - 1 bag,2026-02-16,2026-03-15,19.00,paid,2026-02-16,
INV-21189,cus_uj9c336v,leila.jackson@aol.com,Monthly - 1 bag,2026-02-17,2026-03-16,19.00,paid,2026-02-17,
INV-21191,cus_78gdzxvc,wilson.dorothy@protonmail.com,Quarterly prepaid - 1 bag/mo,2026-02-17,2026-05-16,54.00,failed,2026-02-17,
INV-21194,cus_p96eqebk,watson.patricia@protonmail.com,Monthly - 2 bags,2026-02-17,2026-03-16,34.00,failed,2026-02-17,
INV-21195,cus_rtbjtd2v,gary.perez@aol.com,Monthly - 1 bag,2026-02-18,2026-03-17,19.00,paid,2026-02-18,
INV-21197,cus_hs2pa9tj,jeffreymyers16@hotmail.com,Monthly - 1 bag,2026-02-18,2026-03-17,19.00,paid,2026-02-18,
INV-21199,cus_78gdzxvc,wilson.dorothy@protonmail.com,Quarterly prepaid - 1 bag/mo,2026-02-17,2026-05-16,54.00,paid,2026-02-18,
INV-21201,cus_p96eqebk,watson.patricia@protonmail.com,Monthly - 2 bags,2026-02-17,2026-03-16,34.00,paid,2026-02-18,
INV-21203,cus_avpddymw,hughes.nicholas@me.com,Monthly - 1 bag,2026-02-20,2026-03-19,19.00,paid,2026-02-20,
INV-21205,cus_5p7kae4d,bennett.michael@protonmail.com,Monthly - 1 bag,2026-02-20,2026-03-19,19.00,paid,2026-02-20,
INV-21206,cus_s2c55jqg,mensah.matthew@protonmail.com,Monthly - 1 bag,2026-02-21,2026-03-20,19.00,paid,2026-02-21,
INV-21207,cus_vxk4uyjq,ingridanderson2@yahoo.com,Monthly - 2 bags,2026-02-21,2026-03-20,34.00,paid,2026-02-21,
INV-21208,cus_y2rvnner,lee.cynthia@me.com,Monthly - 1 bag,2026-02-21,2026-03-20,19.00,paid,2026-02-21,
INV-21209,cus_s98bu986,paul.rivera@protonmail.com,Monthly - 1 bag,2026-02-21,2026-03-20,19.00,paid,2026-02-21,
INV-21211,cus_56bgzcmd,amara.haddad@outlook.com,Monthly - 2 bags,2026-02-21,2026-03-20,34.00,paid,2026-02-21,
INV-21212,cus_fy6wx4nc,sofia_wilson@me.com,Monthly - 1 bag,2026-02-22,2026-03-21,19.00,paid,2026-02-22,
