Leads export - generated 07/06/2026 09:14 - filter: Created At after 03/01/2026

Lead ID,Created At,Name,Email,Source,Campaign,Status
L-40459,2026-06-12 15:37:18,Paul Rivera,rivera.paul@protonmail.com,Yelp,Yelp enhanced profile,Won
L-40303,2026-06-13 09:39:55,James Cook,jamescook11@icloud.com,Google Ads,AC repair - Portland,Quoted
L-40384,2026-06-13 17:53:33,Amanda Okafor,amandaokafor93@outlook.com,facebook,Lead form - IG,Won
L-40381,2026-06-14 14:09:14,Steven Morris,stevenmorris37@me.com,instagram,Lead form - IG,Quoted
L-40426,2026-06-14 17:59:08,Mateo Chavez,mateochavez54@aol.com,linkedin,Property managers,Contacted
L-40429,2026-06-14 19:08:43,Ingrid Turner,ingrid.turner@outlook.com,linkedin,Commercial HVAC,Contacted
L-40389,2026-06-15 12:54:29,Jeffrey Bennett,jbennett@yahoo.com,ig,Summer AC promo,Contacted
L-40386,2026-06-15 16:53:20,Ashley Morales,ashley.morales@gmail.com,facebook,Summer AC promo,Won
L-40313,2026-06-15 18:30:58,Amanda Johnson,johnson.amanda@icloud.com,Google Ads,Brand search,Lost
L-40300,2026-06-16 07:00:14,Patricia Walker,patricia.walker@aol.com,google / cpc,Heat pump rebate,Lost
L-40306,2026-06-16 17:09:29,Dorothy Nguyen,dorothynguyen65@outlook.com,google / cpc,Heat pump rebate,Won
L-40456,2026-06-16 18:44:39,Paul Hernandez,phernandez@gmail.com,yelp,Yelp enhanced profile,Lost
L-40516,2026-06-17 09:17:16,Kathleen Gray,kgray@aol.com,(none),-,Quoted
L-40463,2026-06-17 10:25:05,Anthony Reyes,anthony_reyes@yahoo.com,Yelp,Yelp CPC,Contacted
L-40296,2026-06-17 11:00:14,Gary Collins,gary_collins@me.com,adwords,Furnace tune-up,Quoted
L-40483,2026-06-17 14:17:55,Thomas Cox,thomas.cox@icloud.com,Nextdoor local deal,Neighborhood sponsorship,Quoted
L-40399,2026-06-17 14:52:01,Mary Lee,mlee@aol.com,Facebook,Summer AC promo,Lost
L-40314,2026-06-18 15:10:04,Emily Thompson,emily.thompson@protonmail.com,google,Heat pump rebate,Quoted
L-40294,2026-06-19 09:11:32,Thomas Gomez,tgomez@me.com,google / cpc,AC repair - Portland,Contacted
L-40396,2026-06-19 15:30:27,Gary Rodriguez,gary.rodriguez@yahoo.com,Facebook,Retargeting,Lost
L-40397,2026-06-20 08:45:27,Charles Brown,charlesbrown5@hotmail.com,instagram,Retargeting,Won
L-40406,2026-06-20 11:02:01,Test Lead,testlead82@yahoo.com,ig,Lead form - IG,Test
L-40402,2026-06-20 11:46:57,Brian Lee,blee@icloud.com,ig,Retargeting,Lost
L-40305,2026-06-20 16:38:02,Marcus Martin,marcus_martin@gmail.com,google,Brand search,Lost
L-40400,2026-06-20 19:04:16,Rebecca Osei,rebecca.osei@outlook.com,Facebook,Retargeting,Contacted
L-40328,2026-06-21 10:41:50,Kenneth Martinez,kmartinez@me.com,google / cpc,AC repair - Portland,Quoted
L-40388,2026-06-21 14:43:12,Nadia Baker,baker.nadia@aol.com,fb / paid,Lead form - IG,Quoted
L-40317,2026-06-21 15:10:43,Robert Campbell,robertcampbell81@me.com,Google Ads,Brand search,Won
L-40292,2026-06-21 16:22:14,Jessica Long,jlong@yahoo.com,adwords,Furnace tune-up,Lost
L-40481,2026-06-21 19:49:18,Michael Watson,watson.michael@icloud.com,Nextdoor local deal,Neighborhood sponsorship,Contacted
L-40299,2026-06-22 12:36:34,Michelle Williams,mwilliams@aol.com,Google Ads,Brand search,New
L-40432,2026-06-22 13:58:58,SEO Services,seo_services@outlook.com,linkedin,Commercial HVAC,Spam
L-40510,2026-06-22 17:05:37,Lisa Stewart,stewart.lisa@outlook.com,word of mouth,-,Quoted
L-40293,2026-06-22 17:30:18,Sandra Mitchell,sandra.mitchell@aol.com,adwords,Furnace tune-up,Quoted
L-40427,2026-06-23 12:42:47,Amanda Moore,amanda_moore@aol.com,linkedin,Commercial HVAC,Lost
L-40329,2026-06-23 14:49:35,Aisha Moore,aisha.moore@aol.com,adwords,Brand search,New
L-40297,2026-06-23 16:25:45,Kimberly Moore,kimberlymoore41@protonmail.com,google / cpc,Brand search,Won
L-40424,2026-06-23 16:34:17,Daniel Johnson,djohnson@protonmail.com,linkedin,Property managers,Lost
L-40319,2026-06-24 08:12:10,Angela Alvarez,angela_alvarez@protonmail.com,google,Furnace tune-up,Quoted
L-40464,2026-06-24 10:15:06,John Sanchez,john.sanchez@icloud.com,yelp,Yelp enhanced profile,Contacted
L-40318,2026-06-24 11:11:48,Fatima Walker,walker.fatima@me.com,Google Ads,AC repair - Portland,Contacted
L-40490,2026-06-24 16:18:47,Susan Cooper,susan.cooper@outlook.com,organic,-,New
L-40309,2026-06-24 17:37:44,Steven Ruiz,sruiz@aol.com,google / cpc,Heat pump rebate,Lost
L-40395,2026-06-24 20:37:16,Amanda Robinson,arobinson@aol.com,Facebook,Lead form - IG,Contacted
L-40321,2026-06-25 19:40:40,Deborah Parker,deborah.parker@me.com,google,Furnace tune-up,Contacted
L-40327,2026-06-26 09:48:57,Eric Collins,ecollins@gmail.com,adwords,AC repair - Portland,Quoted
L-40404,2026-06-26 16:00:18,John Hernandez,johnhernandez22@icloud.com,fb / paid,Lead form - IG,Contacted
L-40457,2026-06-27 07:26:08,Fatima Mendoza,mendoza.fatima@gmail.com,yelp,Yelp CPC,Quoted
L-40462,2026-06-27 09:49:45,Deborah Peterson,deborah.peterson@hotmail.com,Yelp,Yelp CPC,Quoted
L-40322,2026-06-27 11:20:52,Carlos Alvarez,carlos_alvarez@outlook.com,Google Ads,Brand search,New
L-40403,2026-06-27 15:42:49,Thomas Scott,thomasscott11@hotmail.com,fb / paid,Lead form - IG,New
L-40310,2026-06-27 16:21:51,Anthony Anderson,anderson.anthony@aol.com,adwords,AC repair - Portland,Won
L-40514,2026-06-27 18:05:09,Donald Reed,donaldreed47@aol.com,direct,-,Contacted
L-40482,2026-06-27 20:24:45,Paul Wilson,paul_wilson@me.com,nextdoor,Neighborhood sponsorship,Lost
L-40325,2026-06-28 09:08:57,Angela Davis,angela.davis@gmail.com,adwords,Heat pump rebate,Quoted
L-40394,2026-06-28 14:16:07,Melissa Martin,mmartin@protonmail.com,Facebook,Retargeting,Quoted
L-40428,2026-06-29 19:10:57,Ryan Mensah,ryanmensah66@protonmail.com,linkedin,Commercial HVAC,Contacted
L-40382,2026-06-30 08:12:19,Eric Ruiz,eruiz@aol.com,instagram,Summer AC promo,Contacted
L-40390,2026-06-30 15:13:57,Cynthia Alvarez,cynthia.alvarez@gmail.com,ig,Retargeting,Lost
L-40385,2026-06-30 16:27:09,Dana Kim,kim.dana@icloud.com,Facebook,Lead form - IG,Quoted
L-40308,2026-06-30 18:07:25,Ryan Gomez,ryan.gomez@gmail.com,google / cpc,Furnace tune-up,Lost
L-40311,2026-06-30 20:00:37,Kevin Ross,kross@aol.com,Google Ads,Furnace tune-up,New
L-40532,2026-06-30 20:44:09,Kenneth Cruz,kenneth_cruz@aol.com,(none),-,Quoted
L-40333,2026-07-01 08:22:06,Matthew Roberts,matthewroberts4@gmail.com,adwords,AC repair - Portland,Contacted
L-40487,2026-07-01 15:07:35,Joshua Scott,jscott@gmail.com,nextdoor,Neighborhood sponsorship,Lost
L-40470,2026-07-01 15:44:27,Betty Nguyen,betty.nguyen@outlook.com,yelp,Yelp CPC,Contacted
L-40469,2026-07-01 20:40:23,Charles Gutierrez,gutierrez.charles@aol.com,Yelp,Yelp CPC,Quoted
L-40409,2026-07-02 08:19:06,Patricia Walker,patricia_walker@gmail.com,ig,Retargeting,Quoted
L-40436,2026-07-02 14:30:34,Kevin Ruiz,kevinruiz11@me.com,LinkedIn Sponsored,Commercial HVAC,Contacted
L-40434,2026-07-03 07:55:40,Stephanie Ruiz,stephanie.ruiz@gmail.com,linkedin,Commercial HVAC,New
L-40437,2026-07-04 10:09:41,Eric Martinez,ericmartinez66@outlook.com,LinkedIn Sponsored,Property managers,Contacted
L-40407,2026-07-05 20:56:44,Marcus Young,young.marcus@gmail.com,facebook,Retargeting,Quoted
