Mossbank Accounting - Time Detail
Period: 09/01/2026 - 09/30/2026
Work Date,Staff,Client,Service,Hours,Billable
09/28/2026,"Mossbank, Dana",Mossbank Accounting (internal),Practice meeting,2.00,N
09/28/2026,"Mossbank, Dana",Mossbank Accounting (internal),Marketing,2.00,N
09/28/2026,"Mossbank, Dana",Pemberton HVAC,1120-S preparation,2.00,Y
09/28/2026,"Oduya, Kenneth",Mossbank Accounting,Payroll processing,2.25,Y
09/28/2026,"Oduya, Kenneth",Mossbank Accounting (internal),Marketing,2.25,N
09/28/2026,"Oduya, Kenneth",Nightjar Coffee Roasters,Review engagement,2.25,Y
09/28/2026,"Oduya, Kenneth",Oakhurst Pediatrics,Sales tax filing,2.25,Y
09/28/2026,"Raman, Priya",Nightjar Coffee Roasters,Payroll processing,6.75,Y
09/28/2026,"Wojcik, Tomasz",Mossbank Accounting,Review engagement,1.75,Y
09/28/2026,"Wojcik, Tomasz",Pemberton HVAC,Advisory,1.75,Y
09/28/2026,"Wojcik, Tomasz",Pemberton HVAC,1120-S preparation,1.75,Y
09/28/2026,"Wojcik, Tomasz",Riverbend Physio,Sales tax filing,1.75,Y
09/28/2026,"Lin, Grace",Wren & Sparrow Bookshop,1120-S preparation,4.75,Y
09/28/2026,"Haddad, Omar",Acme Industrial,Advisory,1.25,Y
09/28/2026,"Haddad, Omar",Acme Industrial,1120-S preparation,1.25,Y
09/28/2026,"Haddad, Omar",Mossbank Accounting (internal),CPE training,1.25,N
09/28/2026,"Haddad, Omar",Oakhurst Pediatrics,Monthly bookkeeping,1.25,Y
09/28/2026,"Brooks, Hannah",Ellington Bakeries,Year-end close,2.00,N
09/28/2026,"Brooks, Hannah",Mossbank Accounting (internal),CPE training,2.00,N
09/28/2026,"Brooks, Hannah",Nightjar Coffee Roasters,Year-end close,2.00,Y
09/28/2026,"Brooks, Hannah",Quill & Ink Print Shop,Review engagement,2.00,Y
09/28/2026,"Ortega, Luis",Oakhurst Pediatrics,Sales tax filing,3.00,Y
09/28/2026,"Ortega, Luis",Quill & Ink Print Shop,1065 preparation,3.00,Y
09/28/2026,"Ortega, Luis",Wren & Sparrow Bookshop,Sales tax filing,3.00,Y
09/29/2026,"Mossbank, Dana",Mossbank Accounting,Review engagement,1.75,N
09/29/2026,"Mossbank, Dana",Mossbank Accounting (internal),Marketing,1.75,N
09/29/2026,"Mossbank, Dana",Quarry Road Nursery,Year-end close,1.75,Y
09/29/2026,"Mossbank, Dana",Quarry Road Nursery,Advisory,1.75,Y
09/29/2026,"Oduya, Kenneth",Quarry Road Nursery,Sales tax filing,7.50,Y
09/29/2026,"Raman, Priya",Yellowtail Seafood,Monthly bookkeeping,8.25,Y
09/29/2026,"Wojcik, Tomasz",Ironwood Fabrication,Monthly bookkeeping,6.75,Y
09/29/2026,"Haddad, Omar",Mossbank Accounting (internal),Practice meeting,1.25,N
09/29/2026,"Haddad, Omar",Pinnacle Roofing,Review engagement,1.25,Y
09/29/2026,"Haddad, Omar",Riverbend Physio,Year-end close,1.25,Y
09/29/2026,"Haddad, Omar",Yellowtail Seafood,1120-S preparation,1.25,Y
09/29/2026,"Brooks, Hannah",Nightjar Coffee Roasters,Monthly bookkeeping,2.25,Y
09/29/2026,"Brooks, Hannah",Quill & Ink Print Shop,1065 preparation,2.25,N
09/29/2026,"Brooks, Hannah",Quill & Ink Print Shop,1120-S preparation,2.25,Y
09/29/2026,"Ortega, Luis",Hollowell Electric,1120-S preparation,3.75,Y
09/29/2026,"Ortega, Luis",Nightjar Coffee Roasters,1120-S preparation,3.75,Y
09/30/2026,"Mossbank, Dana",Mossbank Accounting,1120-S preparation,8.00,Y
09/30/2026,"Oduya, Kenneth",Ironwood Fabrication,1120-S preparation,8.75,Y
09/30/2026,"Raman, Priya",Hollowell Electric,Review engagement,3.50,Y
09/30/2026,"Raman, Priya",Meridian Title,Sales tax filing,3.50,Y
09/30/2026,"Wojcik, Tomasz",Nightjar Coffee Roasters,Advisory,8.25,N
09/30/2026,"Lin, Grace",Ironwood Fabrication,1065 preparation,4.25,Y
09/30/2026,"Haddad, Omar",Ellington Bakeries,Review engagement,5.75,Y
09/30/2026,"Brooks, Hannah",Mossbank Accounting (internal),Practice meeting,2.50,N
09/30/2026,"Brooks, Hannah",Oakhurst Pediatrics,1120-S preparation,2.50,Y
09/30/2026,"Brooks, Hannah",Riverbend Physio,Monthly bookkeeping,2.50,N
09/30/2026,"Ortega, Luis",Acme Industrial,Year-end close,2.75,Y
09/30/2026,"Ortega, Luis",Hollowell Electric,Sales tax filing,2.75,Y
09/30/2026,"Ortega, Luis",Oakhurst Pediatrics,Payroll processing,2.75,Y
