Quarry Road Nursery - Sales detail with tax
04/01/2026 - 06/30/2026

Invoice,Date,Customer ID,Customer,Fulfillment,Ship-to town,Ship-to ZIP,Items,Net sales,Tax exempt,Tax collected,Status
QR-24188,06/26/2026,H-3022,Kimberly Davis,Delivery,Millbrook,98033,Arborvitae 6ft; Flagstone (ton),919.00,N,59.74,Posted
QR-24189,06/27/2026,,Walk-in,Pickup - Millbrook yard,,,Boxwood 3gal; Perennial flat; Japanese maple 5gal,$592.00,N,47.36,Posted
QR-24190,06/27/2026,H-3018,Kenneth Ward,Delivery,Cedar Falls,98012,Flagstone (ton); Boxwood 3gal,530.10,N,38.43,Posted
QR-24191,06/27/2026,L-2219,Blue Heron Garden Design,Pickup - Millbrook yard,,,Drip irrigation kit; Compost (yd),551.00,N,44.08,Posted
QR-24192,06/27/2026,,Walk-in,Pickup - Millbrook yard,,,Japanese maple 5gal; Drip irrigation kit; River rock (ton),781.20,N,62.50,Posted
QR-24193,06/29/2026,,Walk-in,Pickup - Cedar Falls yard,,,Bark mulch (yd); Arborvitae 6ft,$285.30,N,20.68,Posted
QR-24194,06/29/2026,H-3011,Marcus Cox,Delivery,Cedar Falls,98012,Boxwood 3gal,30.60,N,2.22,Posted
QR-24195,06/29/2026,,Walk-in,Pickup - Millbrook yard,,,Bark mulch (yd); Flagstone (ton); Topsoil blend (yd),643.00,N,51.44,Posted
QR-24196,06/30/2026,L-2226,Oak County Parks Dept,Delivery,Pine Ridge,98060,Topsoil blend (yd); Compost (yd),$156.60,Y,0.00,Posted
QR-24197,06/30/2026,,Walk-in,Pickup - Millbrook yard,,,Perennial flat,$116.00,N,9.28,Posted
