Lead ID,Created,First Name,Last Name,Email,Phone,Interested In,Campaign Code,Stage,Deal Value,Close Date
L-5452,05/26/2026 08:19 AM,Christopher,Walker,cwalker@me.com,617.555.1435,Private Pilot Package,,Closed Won,"$16,200.00",06/13/2026
L-5453,05/26/2026 02:34 PM,Mark,Garcia,mgarcia@icloud.com,+1 720 555 8222,Discovery Flight, YT-FIRSTSOLO ,Contacted,$189.00,
L-5454,05/26/2026 04:15 PM,Yuki,Lopez,yuki.lopez@gmail.com,206-555-1223,Instrument Rating,gads-disc-q2,New,,
L-5455,05/27/2026 02:46 PM,Joshua,Turner,joshuaturner46@hotmail.com,(919) 555-9950,Discovery Flight,GADS-PPL-Q3?utm_source=google&utm_medium=social,Closed Lost,$189.00,07/01/2026
L-5456,05/27/2026 03:46 PM,Emily,Moore,emilymoore40@protonmail.com,206.555.7004,Private Pilot Package,,Proposal Sent,"$14,350.00",
L-5457,05/27/2026 09:20 PM,Luis,Harris,lharris@me.com,+1 608 555 6035,Discovery Flight,ig-reel-checkride?utm_source=instagram,Contacted,,
L-5458,05/28/2026 06:27 AM,Stephanie,Mendoza,stephanie_mendoza@me.com,608-555-9320,Private Pilot Package,YT-PREROLL-PPL|utm_medium=video,Proposal Sent,"$16,350.00",
L-5459,05/28/2026 03:44 PM,Sharon,White,sharon_white@aol.com,(720) 555-1551,Instrument Rating, GADS-DISC-Q2 ,Closed Won,"$10,750.00",07/01/2026
L-5460,05/29/2026 09:09 AM,George,Gomez,george_gomez@protonmail.com,(608) 555-7233,Commercial Pilot,IG-REEL-CHECKRIDE,Closed Won,"$26,250.00",06/14/2026
L-5461,05/29/2026 10:03 AM,Priya,Taylor,priya_taylor@me.com,802.555.7106,Block Time 10 hrs,,Contacted,,
L-5462,05/30/2026 10:00 AM,Angela,Flores,angelaflores12@aol.com,+1 802 555 9673,Discovery Flight,GADS-PPL-Q2|utm_medium=video,Discovery Flight Scheduled,$189.00,
L-5463,05/31/2026 05:23 PM,Donna,Alvarez,donna.alvarez@icloud.com,303-555-7878,Instrument Rating,IG-SUMMER-SOLO|utm_source=instagram,Contacted,"$10,600.00",
L-5464,05/31/2026 08:19 PM,Dorothy,Parker,dorothy_parker@gmail.com,(971) 555-3200,Private Pilot Package,gads-disc-q2,Closed Lost,"$15,950.00",06/05/2026
L-5465,05/31/2026 08:37 PM,Dana,Flores,danaflores80@aol.com,617.555.2190,Discovery Flight,GADS-PPL-Q2,Contacted,,
L-5466,06/02/2026 11:33 AM,John,Phillips,johnphillips58@aol.com,+1 415 555 7626,Instrument Rating,,Proposal Sent,"$10,400.00",
L-5467,06/02/2026 02:16 PM,Barbara,Hernandez,hernandez.barbara@aol.com,617-555-2946,Discovery Flight,PROMO-FATHERSDAY|utm_source=newsletter,Closed Lost,$189.00,07/01/2026
L-5468,06/02/2026 04:09 PM,Kenneth,Campbell,kcampbell@me.com,(919) 555-6056,Discovery Flight,IG-DISC-SPRING&gclid=Cj0KCQjwEKXbV4AwcK8nXZ,Closed Lost,$189.00,07/01/2026
L-5469,06/03/2026 08:41 AM,Leila,Cooper,leila_cooper@aol.com,512.555.6187,Commercial Pilot,PROMO-FATHERSDAY?utm_source=newsletter&utm_medium=social,Closed Won,"$27,150.00",06/29/2026
L-5470,06/03/2026 10:07 AM,Linda,Mendoza,linda.mendoza@aol.com,415.555.4389,Instrument Rating, GADS-PPL-Q2 ,Closed Lost,"$11,100.00",06/14/2026
L-5471,06/03/2026 09:04 PM,Paul,Anderson,paul_anderson@protonmail.com,+1 617 555 4940,Instrument Rating,yt-firstsolo?utm_source=youtube,New,"$10,350.00",
L-5472,06/04/2026 02:53 PM,Anna,Edwards,edwards.anna@outlook.com,303-555-7742,Private Pilot Package,GADS-DISC-Q2?utm_source=google&utm_medium=cpc&utm_campaign=gads-disc-q2,Proposal Sent,"$14,200.00",
L-5473,06/05/2026 08:51 AM,William,Smith,william.smith@gmail.com,(802) 555-7956,Private Pilot Package,GADS-DISC-Q2,Proposal Sent,"$14,050.00",
L-5474,06/07/2026 08:50 AM,Shirley,Morales,shirley.morales@outlook.com,415.555.6763,Discovery Flight, GADS-DISC-Q2 ,New,,
L-5475,06/07/2026 05:05 PM,Michelle,Thompson,michelle.thompson@me.com,+1 919 555 3374,Discovery Flight,GADS-PPL-Q2,Proposal Sent,$189.00,
L-5476,06/08/2026 09:08 AM,James,Mendoza,mendoza.james@outlook.com,919-555-5264,Private Pilot Package,EVT-SF-OUTDOOR-EXPO,Discovery Flight Scheduled,"$14,550.00",
L-5477,06/08/2026 10:58 AM,Sarah,Torres,sarahtorres50@yahoo.com,(919) 555-9813,Commercial Pilot,REF-EAA-1257%20,Discovery Flight Scheduled,,
L-5478,06/09/2026 12:11 PM,Melissa,Osei,mosei@protonmail.com,512.555.7237,Private Pilot Package,ig-disc-spring,Contacted,,
L-5479,06/09/2026 08:04 PM,Linda,Haddad,lhaddad@icloud.com,+1 971 555 6015,Private Pilot Package,REF-EAA-1257%20,Closed Lost,"$15,450.00",06/20/2026
L-5480,06/10/2026 10:39 AM,Amy,Bennett,abennett@protonmail.com,+1 512 555 6865,Block Time 10 hrs,GADS-PPL-Q3|utm_source=google,Discovery Flight Scheduled,"$2,450.00",
L-5481,06/10/2026 12:45 PM,Wei,Cox,wcox@hotmail.com,608-555-9115,Discovery Flight,gads-ppl-q2?utm_source=google,Closed Lost,$189.00,06/18/2026
L-5482,06/10/2026 02:11 PM,Nadia,Martin,nadia_martin@aol.com,(608) 555-5470,Block Time 10 hrs, YT-PREROLL-PPL ,Proposal Sent,"$2,450.00",
L-5483,06/10/2026 07:33 PM,Kimberly,Bailey,bailey.kimberly@hotmail.com,303.555.4417,Discovery Flight,GADS-PPL-Q2,Closed Won,$189.00,06/28/2026
L-5484,06/10/2026 07:54 PM,Edward,Reed,edward_reed@aol.com,+1 971 555 2081,Commercial Pilot,IG-SUMMER-SOLO,Closed Won,"$26,100.00",07/01/2026
L-5485,06/11/2026 08:09 AM,Thomas,Johnson,johnson.thomas@gmail.com,971-555-4424,Discovery Flight,,Contacted,,
L-5486,06/12/2026 10:52 AM,Luis,Gonzalez,gonzalez.luis@gmail.com,(720) 555-2302,Private Pilot Package,GADS-DISC-Q2,Contacted,"$15,050.00",
L-5487,06/13/2026 06:15 AM,Richard,King,richard.king@me.com,303.555.4766,Block Time 10 hrs,IG-REEL-CHECKRIDE%20,Closed Lost,"$2,450.00",07/01/2026
L-5488,06/13/2026 01:41 PM,Ashley,Myers,ashley.myers@gmail.com,+1 617 555 7796,Private Pilot Package,EVT-KAEG-FLYIN%20,Closed Lost,"$14,000.00",06/15/2026
L-5489,06/13/2026 05:56 PM,Karen,Wright,kwright@gmail.com,206-555-2296,Block Time 10 hrs,,Closed Lost,"$2,450.00",07/01/2026
L-5490,06/15/2026 06:07 AM,Thomas,Martin,thomas_martin@aol.com,303-555-7927,Discovery Flight,gads-disc-q2,Closed Won,$189.00,06/19/2026
L-5491,06/15/2026 07:43 PM,Jennifer,Cooper,jcooper@hotmail.com,(720) 555-5504,Discovery Flight,IG-DISC-SPRING,New,,
L-5492,06/16/2026 02:26 PM,Melissa,Castillo,mcastillo@yahoo.com,971.555.4715,Discovery Flight,ig-disc-spring,Closed Won,$189.00,07/01/2026
L-5493,06/16/2026 05:24 PM,Barbara,Mendoza,mendoza.barbara@hotmail.com,+1 720 555 5161,Instrument Rating,PROMO-FATHERSDAY,Closed Won,"$10,400.00",07/01/2026
L-5494,06/16/2026 07:19 PM,Jacob,Ruiz,ruiz.jacob@icloud.com,617-555-5202,Discovery Flight,,New,,
L-5495,06/17/2026 12:15 PM,Lisa,Watson,lwatson@gmail.com,(206) 555-9207,Discovery Flight,gads-ppl-q2,Closed Won,$189.00,06/29/2026
L-5496,06/18/2026 11:23 AM,Priya,Morris,pmorris@icloud.com,971.555.4049,Discovery Flight,,Closed Won,$189.00,06/25/2026
L-5497,06/18/2026 04:12 PM,Leila,Nelson,leila.nelson@me.com,+1 802 555 1799,Discovery Flight,NEWS-JUN,Closed Won,$189.00,06/24/2026
L-5498,06/18/2026 09:38 PM,Ryan,Brooks,ryan_brooks@protonmail.com,206-555-4172,Instrument Rating,GADS-PPL-Q2,Closed Won,"$11,050.00",07/01/2026
L-5499,06/19/2026 07:54 PM,Stephanie,Alvarez,stephanie.alvarez@protonmail.com,(608) 555-2219,Discovery Flight,ig-reel-checkride?utm_source=instagram,Closed Lost,$189.00,06/21/2026
L-5500,06/20/2026 08:34 AM,Rebecca,Howard,rhoward@icloud.com,720-555-4917,Instrument Rating,GADS-PPL-Q2%20,Proposal Sent,"$10,200.00",
L-5501,06/20/2026 09:03 AM,Dorothy,Hernandez,dorothyhernandez20@gmail.com,(617) 555-9909,Commercial Pilot,yt-preroll-ppl?utm_source=youtube,New,"$23,700.00",
L-5502,06/20/2026 09:14 AM,Sofia,Test,sofia.test@bluemesaflight.com,206.555.4830,Discovery Flight,GADS-IFR-Q1?utm_source=google&utm_medium=cpc&utm_campaign=gads-ifr-q1,New,$189.00,06/20/2026
L-5503,06/20/2026 02:43 PM,Donald,Mensah,mensah.donald@hotmail.com,+1 512 555 8808,Discovery Flight,IG-SUMMER-SOLO|utm_source=instagram,Closed Lost,$189.00,06/24/2026
L-5504,06/21/2026 09:30 AM,Margaret,Cook,margaret.cook@gmail.com,971-555-7322,Private Pilot Package,GADS-PPL-Q2,Closed Lost,"$15,800.00",06/26/2026
L-5505,06/21/2026 10:19 AM,Matthew,Peterson,peterson.matthew@outlook.com,(720) 555-1281,Block Time 10 hrs,REF-EAA-1257,Closed Won,"$2,450.00",07/01/2026
L-5506,06/21/2026 10:39 AM,David,Harris,david.harris@hotmail.com,617.555.9256,Commercial Pilot,GADS-PPL-Q2?utm_source=google&utm_medium=cpc&utm_campaign=gads-ppl-q2,Closed Won,"$27,400.00",07/01/2026
L-5507,06/21/2026 12:25 PM,Laura,Rodriguez,laura.rodriguez@icloud.com,+1 971 555 1077,Block Time 10 hrs,utm_source=youtube&utm_medium=organic,Discovery Flight Scheduled,,
L-5508,06/21/2026 02:31 PM,Cynthia,Garcia,cgarcia@hotmail.com,512-555-1802,Private Pilot Package,YT-PREROLL-PPL,Closed Won,"$14,800.00",07/01/2026
L-5509,06/22/2026 10:59 AM,Kimberly,Price,kimberlyprice41@hotmail.com,(802) 555-4508,Discovery Flight,,Closed Won,$189.00,07/01/2026
L-5510,06/23/2026 10:40 AM,Carlos,Turner,carlos_turner@yahoo.com,(608) 555-1839,Private Pilot Package,,New,,
L-5511,06/24/2026 07:01 AM,Kevin,Harris,kharris@yahoo.com,720.555.6999,Block Time 10 hrs,utm_source=event&utm_medium=organic,Contacted,,
L-5512,06/24/2026 10:30 AM,Ingrid,Peterson,peterson.ingrid@gmail.com,+1 919 555 1848,Instrument Rating,YT-PREROLL-PPL?utm_source=youtube&utm_medium=cpc&utm_campaign=yt-preroll-ppl,Closed Won,"$10,850.00",07/01/2026
L-5513,06/24/2026 09:30 PM,Robert,Cooper,cooper.robert@yahoo.com,303-555-4237,Discovery Flight,,Closed Lost,$189.00,07/01/2026
L-5514,06/25/2026 07:40 PM,Wei,Gonzalez,wei_gonzalez@hotmail.com,(608) 555-5525,Instrument Rating,utm_source=event&utm_medium=organic,Contacted,,
L-5515,06/25/2026 08:46 PM,Laura,Carter,lcarter@yahoo.com,617.555.2674,Private Pilot Package,news-apr,New,,
L-5516,06/26/2026 05:43 PM,David,Lewis,dlewis@gmail.com,+1 802 555 6382,Instrument Rating,yt-firstsolo,Proposal Sent,"$10,300.00",
L-5517,06/27/2026 07:49 PM,Jacob,Rodriguez,jrodriguez@aol.com,919-555-4398,Discovery Flight,REF-CAP-SQDN?utm_source=referral&utm_medium=cpc&utm_campaign=ref-cap-sqdn,New,,
L-5518,06/27/2026 08:16 PM,Emily,Williams,emily.williams@yahoo.com,(415) 555-6660,Instrument Rating,EVT-SF-OUTDOOR-EXPO,Proposal Sent,"$10,150.00",
L-5519,06/27/2026 08:53 PM,Jennifer,Garcia,jgarcia@aol.com,971.555.4014,Private Pilot Package,IG-DISC-SPRING|utm_medium=video,Discovery Flight Scheduled,,
L-5520,06/29/2026 07:20 AM,Jennifer,Perez,jperez@yahoo.com,206.555.8763,Discovery Flight,IG-DISC-SPRING,Closed Won,$189.00,07/01/2026
L-5521,06/29/2026 09:23 AM,David,Hernandez,davidhernandez47@aol.com,+1 206 555 1646,Commercial Pilot,GADS-PPL-Q2,New,,
L-5522,06/29/2026 01:57 PM,Barbara,Mitchell,barbara.mitchell@protonmail.com,971-555-1322,Discovery Flight,utm_source=newsletter&utm_medium=organic,Proposal Sent,$189.00,
L-5523,06/29/2026 03:05 PM,Ashley,Williams,ashley.williams@icloud.com,(971) 555-9860,Instrument Rating,GADS-DISC-Q2,Closed Lost,"$10,200.00",07/01/2026
L-5524,06/29/2026 05:29 PM,Kenneth,Rogers,rogers.kenneth@protonmail.com,971.555.9173,Discovery Flight,GADS-PPL-Q3,Proposal Sent,$189.00,
L-5525,06/29/2026 07:52 PM,Hiroshi,Nguyen,hiroshi.nguyen@yahoo.com,+1 415 555 2242,Private Pilot Package,NEWS-JUN,New,"$14,300.00",
L-5526,06/30/2026 09:20 AM,Aisha,Murphy,murphy.aisha@yahoo.com,971-555-2695,Discovery Flight,utm_source=referral&utm_medium=organic,Closed Won,$189.00,07/01/2026
L-5527,06/30/2026 09:40 PM,Angela,Morales,amorales@icloud.com,(206) 555-4485,Instrument Rating,gads-disc-q2?utm_source=google,Discovery Flight Scheduled,,
L-5528,07/01/2026 12:10 PM,Carol,Ward,carol.ward@aol.com,919.555.2925,Discovery Flight,utm_source=event&utm_medium=organic,Closed Won,$189.00,07/01/2026
L-5529,07/01/2026 02:01 PM,Emily,Edwards,emilyedwards75@aol.com,+1 617 555 7937,Discovery Flight,,New,,
L-5530,07/01/2026 04:56 PM,Mary,Moore,moore.mary@icloud.com,+1 303 555 5356,Discovery Flight,,Closed Lost,$189.00,07/01/2026
