Member #,First Name,Last Name,Email,Phone,Plan,Joined,Expires,Fee,Trainer,Status,Date of Birth,Notes
M-02532,Hiroshi,Lewis,lewis.hiroshi@gmail.com,6175552809,Monthly,11/01/20,11/03/2025,65,Jess Alvarez,CANCELLED,01/25/1952,
M-01297,Martin,Whitfield,martinwhitfield73@outlook.com,5125553659,Monthly,17-May-2026,"April 07, 2027",$65.00,,ACTIVE,04/03/2003,Referred by a friend
M-02521,Ashley,Reed,ashley.reed@outlook.com,1-303-555-1457,Monthly,2024-09-05,04/16/27,$65.00,kofi mensah,Active,11/12/1996,Student ID on file
M-01666,Mary,Miller,mary.miller@gmail.com,+1 (415) 555-4521,ANNUAL,11/25/2020,2027-10-31,660,,active,05/25/1960,
M-00444,Amanda,Miller,amandamiller77@aol.com,9715553057,Annual,"February 27, 2022","September 18, 2027",$660.00,Aiko Tanaka,Active,09/05/1974,
M-01398,Patricia,Baker,patricia_baker@protonmail.com,+1 (415) 555-7214,Monthly ,06-Nov-2025,03/18/26,65.00,,Expired,08-Mar-1980,
M-01987,David,Johnson,david.johnson@hotmail.com,(415) 555-9362,Monthly,"April 15, 2021",03/28/27,65.00,Kofi Mensah,Active,1962-02-06,Prefers mornings
M-01817,Melissa,Nelson,nelson.melissa@protonmail.com,(303) 555-5307,Monthly,12/16/2024,04/14/2027,65,Mia Kowalczyk,Active,20-Feb-1989,
M-00514,Ryan,Cook,rcook@hotmail.com,(720) 555-3956,Monthly,12/30/22,02-Sep-2025,$ 65.00,Mia Kowalczyk,CANCELLED,08/07/1957,Prefers mornings
M-01890,Chloe,Baker,cbaker@me.com,617.555.2399,Quarterly ,11/23/2023,05/17/27,180.00,,Active,09/20/1992,Locker 114
M-01646,Margaret,White,mwhite@aol.com,3035559272,Monthly,26-Nov-2021,11/16/2025,65.00,,Active,07-Sep-1971,Knee injury - check with trainer
M-00939,Matthew,Clark,matthew.clark@aol.com,+1 (206) 555-9213,Annual ,2024-09-08,"December 09, 2027",$ 660.00,,Active,05/28/1988,Student ID on file
M-01972,Michelle,Hernandez,michelle.hernandez@yahoo.com,(919) 555-3509,quarterly,2025-04-05,"April 15, 2027",$180.00,Ravi Desai,ACTIVE,03/07/1982,Locker 114
M-01717,Mark,Ruiz,ruiz.mark@outlook.com,608-555-9351,Annual,12/14/20,07/26/25,$660.00,,Canceled,05/15/1989,
M-00179,Jacob,Patel,jpatel@me.com,415-555-1706,annual,28-Nov-2021,04/17/27,$660.00,Jess Alvarez,Active,27-Oct-2000,
M-01687,Donna,Rodriguez,rodriguez.donna@me.com,2065557546,Monthly,02/22/2021,10/12/25,65.00,,CANCELLED,01-Jun-1985,
M-01868,Rebecca,Lee,rebecca.lee@icloud.com,+1 303 555 3464,Monthly,"July 22, 2023",18-Mar-2027,$65.00,,active,03-Mar-1972,
M-00468,Elizabeth,Wright,wright.elizabeth@me.com,512-555-3734,annual,12/26/23,2025-01-04,660,Kofi Mensah,Canceled,12-Mar-1997,
M-01570,Sofia,Wilson,sofia_wilson@icloud.com,415.555.8485,Quarterly,12/23/2025,"March 26, 2027",180,,Active,02/06/1966,Corporate discount ended
M-00188,Stephanie,Green,stephanie.green@icloud.com,608-555-4150,Monthly,12/12/2019,2027-04-30,65.00,Aiko Tanaka,active,1968-01-08,Student ID on file
M-01669,Kwame,Thomas,kwame_thomas@icloud.com,303-555-1855,Monthly ,04/08/2023,04/10/2027,$65.00,,Active,07/03/1986,Locker 114
M-00622,Matthew,Ramos,matthew.ramos@me.com,+1 (971) 555-9611,Annual,07/20/20,"May 04, 2027",$660.00,,ACTIVE,04/07/1994,Locker 114
M-00713,Yuki,Lee,yuki.lee@aol.com,(971) 555-4502,Monthly ,2024-12-10,04/21/27,$65.00,Mia Kowalczyk,Active,2007-10-28,Knee injury - check with trainer
M-01933,Charles,Haddad,haddad.charles@outlook.com,(206) 555-7251,Quarterly,"December 21, 2021",03/22/27,180,Jess Alvarez,ACTIVE,08/02/1978,
M-01891,Nancy,Cook,cook.nancy@aol.com,919-555-5418,monthly,05/29/2026,"March 02, 2027",$ 65.00,aiko tanaka,active,18-Jul-1974,
M-02052,Shirley,Phillips,sphillips@protonmail.com,206-555-8213,QUARTERLY,03/17/23,05/10/2027,180,Tom Brennan,active,1958-06-18,Locker 114
1976,Sofia,Castillo,CASTILLO.SOFIA@GMAIL.COM,+1 (415) 555-1170,Monthly,"July 11, 2025",2027-04-15,65,,ACTIVE,12-Dec-1963,
M-02587,Christopher,Flores,flores.christopher@outlook.com,617.555.8833,MONTHLY,2024-02-03,2027-03-24,$65.00,,ACTIVE,1984-10-11,Prefers mornings
M-00773,William,Campbell,william_campbell@icloud.com,1-206-555-7595,Annual,02/05/2020,06/12/27,$660.00,Aiko Tanaka,Active,05/12/1988,
M-00616,Edward,Brown,edward_brown@protonmail.com,1-617-555-6352,MONTHLY,2024-10-11,15-Mar-2027,65.00,,ACTIVE,1964-08-12,
M-00578,Susan,Gonzalez,susan_gonzalez@gmail.com,1-919-555-8883,Monthly ,2024-08-01,02-Apr-2027,65.00,Mia Kowalczyk,Active,27-Nov-2004,Paid by card on file
M-00924,Kenneth,Hall,kenneth.hall@hotmail.com,(919) 555-1171,monthly,28-Aug-2023,04/11/27,$ 65.00,,active,1964-06-01,
M-01446,Nicholas,Sanchez,nsanchez@aol.com,+1 720 555 7302,Monthly,10/15/2019,2027-03-31,$65.00,,ACTIVE,09/19/1977,
M-01167,Anthony,Martin,anthony_martin@gmail.com,608-555-9341,monthly,"September 13, 2025",08/18/26,65,,Expired,13-Sep-2003,Prefers mornings
M-02384,Lisa,Walker,walker.lisa@hotmail.com,512-555-8525,Quarterly ,2020-01-15,2025-03-05,$ 180.00,Jess Alvarez,CANCELLED,12/05/1988,Paid by card on file
M-02396,Dorothy,Anderson,dorothyanderson17@icloud.com,2065558672,Quarterly,2020-12-04,07-Jun-2027,$180.00,,active,04/09/2001,
M-00221,Anna,Campbell,acampbell@icloud.com,6175555935,Quarterly ,15-Oct-2025,06/20/27,180.00,Tom Brennan,ACTIVE,1965-04-09,Student ID on file
M-01651,Jacob,Howard,jacobhoward84@yahoo.com,512-555-2946,Annual ,15-Jul-2026,11/12/27,$660.00,Kofi Mensah,active,01-Aug-2005,Paid by card on file
M-00102,Grace,Okonkwo,okonkwo.home@yahoo.com,1-415-555-8034,MONTHLY,03/23/20,2027-03-22,65,Mia Kowalczyk,active,1989-05-25,
M-02470,Angela,Lopez,angelalopez17@yahoo.com,9715558478,quarterly,"January 10, 2020",03/16/2027,$180.00,,Active,1957-06-17,Moved from Off-Peak
M-00364,Richard,Jones,rjones@gmail.com,9195556567,Monthly,08/08/2021,03/10/2027,$65.00,Kofi Mensah,ACTIVE,04-Oct-2004,
M-01973,Ronald,Moore,ronald_moore@icloud.com,1-415-555-5037,quarterly,2019-07-09,01-Mar-2026,$ 180.00,Tom Brennan,Active,23-Feb-1989,
M-00412,Jennifer,Howard,jennifer_howard@aol.com,1-303-555-6080,Quarterly,"October 14, 2020",02/20/2025,$ 180.00,,Cancelled,1992-06-19,Moved from Off-Peak
M-01198,Kwame,Stewart,kstewart@aol.com,2065557502,MONTHLY,2019-12-28,05/31/26,65,Tom Brennan,Canceled,12-Apr-1990,
M-02596,Mateo,Scott,mateo_scott@icloud.com,608.555.1082,Annual ,2021-05-14,18-Apr-2027,$ 660.00,,ACTIVE,24-Jun-1984,
M-00627,Carol,Thompson,thompson.carol@protonmail.com,1-206-555-7427,Monthly ,2023-07-06,11/09/25,$65.00,,CANCELLED,1976-02-24,
M-02208,Amara,Hill,amarahill93@hotmail.com,(919) 555-3975,monthly,2022-03-19,03/17/2027,$65.00,,ACTIVE,30-Apr-1952,Locker 114
M-00809,John,Myers,myers.john@yahoo.com,+1 (971) 555-9496,Quarterly,10/23/24,07-Jun-2027,$180.00,Tom Brennan,active,2003-03-08,Referred by a friend
M-01870,Tomasz,Campbell,tcampbell@gmail.com,1-415-555-8136,QUARTERLY,"April 02, 2024","March 26, 2027",$180.00,Ravi Desai,ACTIVE,12/27/1999,
M-02021,Omar,Martinez,omartinez@hotmail.com,(971) 555-5234,Monthly,02/03/2021,01/08/2026,$ 65.00,,Expired,1980-07-18,Corporate discount ended
M-01405,Matthew,Wood,matthew.wood@yahoo.com,4155554946,Annual ,09/22/21,"May 28, 2027",$660.00,Aiko Tanaka,active,14-Apr-2004,
M-00247,Donna,Walker,walker.donna@yahoo.com,3035552961,Monthly ,2022-02-10,01/02/26,65,,Active,20-Sep-2006,Corporate discount ended
M-01225,Jonathan,Alvarez,alvarez.jonathan@hotmail.com,+1 (971) 555-7794,quarterly,06/09/21,2025-12-30,180,,Expired,09/19/1952,Corporate discount ended
M-01231,Jacob,Garcia,jacobgarcia20@aol.com,5125551293,Quarterly ,"November 09, 2025","June 04, 2027",$ 180.00,Jess Alvarez,Active,2031-04-17,
M-00109,Mateo,Gomez,gomez.mateo@icloud.com,1-971-555-8526,Quarterly,"December 30, 2025",2027-05-26,180,,active,08/21/1964,Locker 114
M-00449,Kwame,Hernandez,kwame.hernandez@gmail.com,+1 512 555 5200,Monthly,05/23/19,19-Mar-2027,65,Mia Kowalczyk,ACTIVE,26-Jul-1969,
M-01582,Robert,Morris,robert.morris@protonmail.com,+1 (971) 555-3501,Annual,04-Apr-2019,12/14/2027,$660.00,,Active,25-Jul-1964,Student ID on file
M-01346,Mary,Parker,mary_parker@hotmail.com,4155557964,MONTHLY,2020-01-16,14-Mar-2027,$65.00,,active,1995-12-06,Student ID on file
M-01129,Thomas,Murphy,tmurphy@icloud.com,+1 (802) 555-2939,Monthly ,04/15/2022,2025-10-15,65,Tom Brennan,Active,10/29/1990,
M-01976,Sofia,Castillo,castillo.sofia@gmail.com,415.555.1170,Monthly,"July 11, 2025",2027-04-15,65,,ACTIVE,12-Dec-1963,
